Data_Number,State,Action,Reward,Angle,Acceleration,pos_cart
1,11,1,-98,10,53,0
2,13,1,-98,12,51,0
3,7,0,-99,7,53,0
4,2,1,-99,2,61,0
5,-2,1,-99,-1,57,0
6,1,0,-99,1,52,0
7,4,1,-99,4,57,0
8,8,0,-99,8,55,0
9,8,1,-99,8,54,0
10,2,0,-99,2,90,0
11,0,1,-100,0,48,40
12,3,0,-99,3,58,40
13,6,0,-99,6,64,40
14,7,1,-99,7,54,40
15,6,0,-99,6,52,40
16,4,0,-99,4,50,40
17,3,1,-99,3,57,40
18,3,0,-99,3,60,40
19,4,1,-99,4,60,40
19,4,1,-99,4,60,40
19,4,1,-99,4,60,40
19,4,1,-99,4,60,40
19,4,1,-99,4,60,40
19,4,1,-99,4,60,40
19,4,1,-99,4,60,40
19,4,1,-99,4,60,40
19,4,1,-99,4,60,40
19,4,1,-99,4,60,40
19,4,1,-99,4,60,40
19,4,1,-99,4,60,40
19,4,1,-99,4,60,40
19,4,1,-99,4,60,40
19,4,1,-99,4,60,40
19,4,1,-99,4,60,40
19,4,1,-99,4,60,40
19,4,1,-99,4,60,40
19,4,1,-99,4,60,40
19,4,1,-99,4,60,40
19,4,1,-99,4,60,40
19,4,1,-99,4,60,40
19,4,1,-99,4,60,40
19,4,1,-99,4,60,40
19,4,1,-99,4,60,40
19,4,1,-99,4,60,40
19,4,1,-99,4,60,40
20,9,1,-99,9,71,40
20,9,1,-99,9,71,40
20,9,1,-99,9,71,40
20,9,1,-99,9,71,40
20,9,1,-99,9,71,40
20,9,1,-99,9,71,40
20,9,1,-99,9,71,40
20,9,1,-99,9,71,40
20,9,1,-99,9,71,40
20,9,1,-99,9,71,40
20,9,1,-99,9,71,40
20,9,1,-99,9,71,40
20,9,1,-99,9,71,40
20,9,1,-99,9,71,40
20,9,1,-99,9,71,40
20,9,1,-99,9,71,40
20,9,1,-99,9,71,40
20,9,1,-99,9,71,40
20,9,1,-99,9,71,40
20,9,1,-99,9,71,40
20,9,1,-99,9,71,40
20,9,1,-99,9,71,40
20,9,1,-99,9,71,40
20,9,1,-99,9,71,40
20,9,1,-99,9,71,40
20,9,1,-99,9,71,40
20,9,1,-99,9,71,40
20,9,1,-99,9,71,40
20,9,1,-99,9,71,40
20,9,1,-99,9,71,40
20,9,1,-99,9,71,40
20,9,1,-99,9,71,40
20,9,1,-99,9,71,40
20,9,1,-99,9,71,40
20,9,1,-99,9,71,40
20,9,1,-99,9,71,40
20,9,1,-99,9,71,40
20,9,1,-99,9,71,40
20,9,1,-99,9,71,40
20,9,1,-99,9,71,40
20,9,1,-99,9,71,40
20,9,1,-99,9,71,40
20,9,1,-99,9,71,40
20,9,1,-99,9,71,40
20,9,1,-99,9,71,40
20,9,1,-99,9,71,40
20,9,1,-99,9,71,40
20,9,1,-99,9,71,40
20,9,1,-99,9,71,40
20,9,1,-99,9,71,40
20,9,1,-99,9,71,40
20,9,1,-99,9,71,40
20,9,1,-99,9,71,40
20,9,1,-99,9,71,40
20,9,1,-99,9,71,40
20,9,1,-99,9,71,40
