Data_Number,State,Action,Reward,Angle,Acceleration,pos_cart
0,7,1,-99,7,63,0
1,5,0,-99,5,57,0
2,-2,0,-99,-1,61,0
3,-6,0,-99,-5,59,0
4,-4,0,-99,-3,65,0
5,-2,1,-99,-1,67,0
6,1,0,-99,1,57,0
7,0,1,-100,0,45,0
8,-2,0,-99,-1,62,0
9,-2,1,-99,-1,64,0
10,-6,1,-99,-5,-16,40
11,1,1,-99,1,60,40
12,3,1,-99,3,52,40
13,1,0,-99,1,60,40
14,-3,0,-99,-2,60,40
15,-4,1,-99,-3,68,40
16,-3,1,-99,-2,64,40
17,-2,0,-99,-1,45,40
18,-2,1,-99,-1,58,40
19,0,0,-100,0,12,40
19,0,0,-100,0,12,40
19,0,0,-100,0,12,40
19,0,0,-100,0,12,40
19,0,0,-100,0,12,40
19,0,0,-100,0,12,40
19,0,0,-100,0,12,40
19,0,0,-100,0,12,40
19,0,0,-100,0,12,40
19,0,0,-100,0,12,40
19,0,0,-100,0,12,40
19,0,0,-100,0,12,40
19,0,0,-100,0,12,40
19,0,0,-100,0,12,40
19,0,0,-100,0,12,40
19,0,0,-100,0,12,40
19,0,0,-100,0,12,40
19,0,0,-100,0,12,40
19,0,0,-100,0,12,40
19,0,0,-100,0,12,40
19,0,0,-100,0,12,40
19,0,0,-100,0,12,40
19,0,0,-100,0,12,40
19,0,0,-100,0,12,40
19,0,0,-100,0,12,40
19,0,0,-100,0,12,40
19,0,0,-100,0,12,40
19,0,0,-100,0,12,40
19,0,0,-100,0,12,40
19,0,0,-100,0,12,40
19,0,0,-100,0,12,40
19,0,0,-100,0,12,40
19,0,0,-100,0,12,40
19,0,0,-100,0,12,40
20,-2,0,-99,-1,-13,0
20,-2,0,-99,-1,-13,0
20,-2,0,-99,-1,-13,0
20,-2,0,-99,-1,-13,0
20,-2,0,-99,-1,-13,0
20,-2,0,-99,-1,-13,0
20,-2,0,-99,-1,-13,0
20,-2,0,-99,-1,-13,0
20,-2,0,-99,-1,-13,0
20,-2,0,-99,-1,-13,0
20,-2,0,-99,-1,-13,0
20,-2,0,-99,-1,-13,0
20,-2,0,-99,-1,-13,0
20,-2,0,-99,-1,-13,0
20,-2,0,-99,-1,-13,0
20,-2,0,-99,-1,-13,0
20,-2,0,-99,-1,-13,0
20,-2,0,-99,-1,-13,0
20,-2,0,-99,-1,-13,0
20,-2,0,-99,-1,-13,0
20,-2,0,-99,-1,-13,0
20,-2,0,-99,-1,-13,0
20,-2,0,-99,-1,-13,0
20,-2,0,-99,-1,-13,0
20,-2,0,-99,-1,-13,0
20,-2,0,-99,-1,-13,0
20,-2,0,-99,-1,-13,0
20,-2,0,-99,-1,-13,0
20,-2,0,-99,-1,-13,0
20,-2,0,-99,-1,-13,0
20,-2,0,-99,-1,-13,0
20,-2,0,-99,-1,-13,0
20,-2,0,-99,-1,-13,0
20,-2,0,-99,-1,-13,0
20,-2,0,-99,-1,-13,0
20,-2,0,-99,-1,-13,0
20,-2,0,-99,-1,-13,0
20,-2,0,-99,-1,-13,0
20,-2,0,-99,-1,-13,0
20,-2,0,-99,-1,-13,0
20,-2,0,-99,-1,-13,0
20,-2,0,-99,-1,-13,0
20,-2,0,-99,-1,-13,0
20,-2,0,-99,-1,-13,0
20,-2,0,-99,-1,-13,0
20,-2,0,-99,-1,-13,0
20,-2,0,-99,-1,-13,0
20,-2,0,-99,-1,-13,0
20,-2,0,-99,-1,-13,0
20,-2,0,-99,-1,-13,0
20,-2,0,-99,-1,-13,0
20,-2,0,-99,-1,-13,0
20,-2,0,-99,-1,-13,0
20,-2,0,-99,-1,-13,0
20,-2,0,-99,-1,-13,0
21,-14,0,-98,-12,-8,80
21,-14,0,-98,-12,-8,80
21,-14,0,-98,-12,-8,80
21,-14,0,-98,-12,-8,80
21,-14,0,-98,-12,-8,80
21,-14,0,-98,-12,-8,80
21,-14,0,-98,-12,-8,80
21,-14,0,-98,-12,-8,80
21,-14,0,-98,-12,-8,80
21,-14,0,-98,-12,-8,80
21,-14,0,-98,-12,-8,80
21,-14,0,-98,-12,-8,80
21,-14,0,-98,-12,-8,80
21,-14,0,-98,-12,-8,80
21,-14,0,-98,-12,-8,80
21,-14,0,-98,-12,-8,80
21,-14,0,-98,-12,-8,80
21,-14,0,-98,-12,-8,80
21,-14,0,-98,-12,-8,80
21,-14,0,-98,-12,-8,80
21,-14,0,-98,-12,-8,80
21,-14,0,-98,-12,-8,80
21,-14,0,-98,-12,-8,80
21,-14,0,-98,-12,-8,80
21,-14,0,-98,-12,-8,80
21,-14,0,-98,-12,-8,80
21,-14,0,-98,-12,-8,80
21,-14,0,-98,-12,-8,80
21,-14,0,-98,-12,-8,80
21,-14,0,-98,-12,-8,80
21,-14,0,-98,-12,-8,80
21,-14,0,-98,-12,-8,80
21,-14,0,-98,-12,-8,80
21,-14,0,-98,-12,-8,80
21,-14,0,-98,-12,-8,80
21,-14,0,-98,-12,-8,80
21,-14,0,-98,-12,-8,80
21,-14,0,-98,-12,-8,80
21,-14,0,-98,-12,-8,80
21,-14,0,-98,-12,-8,80
21,-14,0,-98,-12,-8,80
21,-14,0,-98,-12,-8,80
21,-14,0,-98,-12,-8,80
21,-14,0,-98,-12,-8,80
21,-14,0,-98,-12,-8,80
21,-14,0,-98,-12,-8,80
21,-14,0,-98,-12,-8,80
21,-14,0,-98,-12,-8,80
21,-14,0,-98,-12,-8,80
21,-14,0,-98,-12,-8,80
21,-14,0,-98,-12,-8,80
21,-14,0,-98,-12,-8,80
21,-14,0,-98,-12,-8,80
21,-14,0,-98,-12,-8,80
21,-14,0,-98,-12,-8,80
22,-10,1,-99,-9,103,120
22,-10,1,-99,-9,103,120
22,-10,1,-99,-9,103,120
22,-10,1,-99,-9,103,120
22,-10,1,-99,-9,103,120
22,-10,1,-99,-9,103,120
22,-10,1,-99,-9,103,120
22,-10,1,-99,-9,103,120
22,-10,1,-99,-9,103,120
22,-10,1,-99,-9,103,120
22,-10,1,-99,-9,103,120
22,-10,1,-99,-9,103,120
22,-10,1,-99,-9,103,120
22,-10,1,-99,-9,103,120
22,-10,1,-99,-9,103,120
22,-10,1,-99,-9,103,120
22,-10,1,-99,-9,103,120
22,-10,1,-99,-9,103,120
22,-10,1,-99,-9,103,120
22,-10,1,-99,-9,103,120
22,-10,1,-99,-9,103,120
22,-10,1,-99,-9,103,120
22,-10,1,-99,-9,103,120
22,-10,1,-99,-9,103,120
22,-10,1,-99,-9,103,120
22,-10,1,-99,-9,103,120
22,-10,1,-99,-9,103,120
22,-10,1,-99,-9,103,120
22,-10,1,-99,-9,103,120
22,-10,1,-99,-9,103,120
22,-10,1,-99,-9,103,120
22,-10,1,-99,-9,103,120
22,-10,1,-99,-9,103,120
22,-10,1,-99,-9,103,120
22,-10,1,-99,-9,103,120
22,-10,1,-99,-9,103,120
22,-10,1,-99,-9,103,120
22,-10,1,-99,-9,103,120
22,-10,1,-99,-9,103,120
22,-10,1,-99,-9,103,120
22,-10,1,-99,-9,103,120
22,-10,1,-99,-9,103,120
22,-10,1,-99,-9,103,120
22,-10,1,-99,-9,103,120
22,-10,1,-99,-9,103,120
22,-10,1,-99,-9,103,120
22,-10,1,-99,-9,103,120
22,-10,1,-99,-9,103,120
22,-10,1,-99,-9,103,120
22,-10,1,-99,-9,103,120
22,-10,1,-99,-9,103,120
22,-10,1,-99,-9,103,120
22,-10,1,-99,-9,103,120
22,-10,1,-99,-9,103,120
22,-10,1,-99,-9,103,120
22,-10,1,-99,-9,103,120
22,-10,1,-99,-9,103,120
22,-10,1,-99,-9,103,120
23,13,0,-98,12,-112,120
23,13,0,-98,12,-112,120
23,13,0,-98,12,-112,120
23,13,0,-98,12,-112,120
23,13,0,-98,12,-112,120
23,13,0,-98,12,-112,120
23,13,0,-98,12,-112,120
23,13,0,-98,12,-112,120
23,13,0,-98,12,-112,120
23,13,0,-98,12,-112,120
23,13,0,-98,12,-112,120
23,13,0,-98,12,-112,120
23,13,0,-98,12,-112,120
23,13,0,-98,12,-112,120
23,13,0,-98,12,-112,120
23,13,0,-98,12,-112,120
23,13,0,-98,12,-112,120
23,13,0,-98,12,-112,120
23,13,0,-98,12,-112,120
23,13,0,-98,12,-112,120
23,13,0,-98,12,-112,120
23,13,0,-98,12,-112,120
23,13,0,-98,12,-112,120
23,13,0,-98,12,-112,120
23,13,0,-98,12,-112,120
23,13,0,-98,12,-112,120
23,13,0,-98,12,-112,120
23,13,0,-98,12,-112,120
23,13,0,-98,12,-112,120
23,13,0,-98,12,-112,120
23,13,0,-98,12,-112,120
23,13,0,-98,12,-112,120
23,13,0,-98,12,-112,120
23,13,0,-98,12,-112,120
23,13,0,-98,12,-112,120
23,13,0,-98,12,-112,120
23,13,0,-98,12,-112,120
23,13,0,-98,12,-112,120
23,13,0,-98,12,-112,120
23,13,0,-98,12,-112,120
23,13,0,-98,12,-112,120
23,13,0,-98,12,-112,120
23,13,0,-98,12,-112,120
23,13,0,-98,12,-112,120
23,13,0,-98,12,-112,120
23,13,0,-98,12,-112,120
23,13,0,-98,12,-112,120
23,13,0,-98,12,-112,120
23,13,0,-98,12,-112,120
23,13,0,-98,12,-112,120
23,13,0,-98,12,-112,120
24,16,0,-97,15,-20,160
24,16,0,-97,15,-20,160
24,16,0,-97,15,-20,160
24,16,0,-97,15,-20,160
24,16,0,-97,15,-20,160
24,16,0,-97,15,-20,160
24,16,0,-97,15,-20,160
24,16,0,-97,15,-20,160
24,16,0,-97,15,-20,160
24,16,0,-97,15,-20,160
24,16,0,-97,15,-20,160
24,16,0,-97,15,-20,160
24,16,0,-97,15,-20,160
24,16,0,-97,15,-20,160
24,16,0,-97,15,-20,160
24,16,0,-97,15,-20,160
24,16,0,-97,15,-20,160
24,16,0,-97,15,-20,160
24,16,0,-97,15,-20,160
24,16,0,-97,15,-20,160
24,16,0,-97,15,-20,160
24,16,0,-97,15,-20,160
24,16,0,-97,15,-20,160
24,16,0,-97,15,-20,160
24,16,0,-97,15,-20,160
24,16,0,-97,15,-20,160
24,16,0,-97,15,-20,160
24,16,0,-97,15,-20,160
24,16,0,-97,15,-20,160
24,16,0,-97,15,-20,160
24,16,0,-97,15,-20,160
24,16,0,-97,15,-20,160
24,16,0,-97,15,-20,160
24,16,0,-97,15,-20,160
24,16,0,-97,15,-20,160
24,16,0,-97,15,-20,160
24,16,0,-97,15,-20,160
24,16,0,-97,15,-20,160
24,16,0,-97,15,-20,160
24,16,0,-97,15,-20,160
24,16,0,-97,15,-20,160
24,16,0,-97,15,-20,160
24,16,0,-97,15,-20,160
24,16,0,-97,15,-20,160
24,16,0,-97,15,-20,160
24,16,0,-97,15,-20,160
24,16,0,-97,15,-20,160
24,16,0,-97,15,-20,160
24,16,0,-97,15,-20,160
24,16,0,-97,15,-20,160
24,16,0,-97,15,-20,160
24,16,0,-97,15,-20,160
24,16,0,-97,15,-20,160
25,1,1,-99,1,-54,160
25,1,1,-99,1,-54,160
25,1,1,-99,1,-54,160
25,1,1,-99,1,-54,160
25,1,1,-99,1,-54,160
25,1,1,-99,1,-54,160
25,1,1,-99,1,-54,160
25,1,1,-99,1,-54,160
25,1,1,-99,1,-54,160
25,1,1,-99,1,-54,160
25,1,1,-99,1,-54,160
25,1,1,-99,1,-54,160
25,1,1,-99,1,-54,160
25,1,1,-99,1,-54,160
25,1,1,-99,1,-54,160
25,1,1,-99,1,-54,160
25,1,1,-99,1,-54,160
25,1,1,-99,1,-54,160
25,1,1,-99,1,-54,160
25,1,1,-99,1,-54,160
25,1,1,-99,1,-54,160
25,1,1,-99,1,-54,160
25,1,1,-99,1,-54,160
25,1,1,-99,1,-54,160
25,1,1,-99,1,-54,160
25,1,1,-99,1,-54,160
25,1,1,-99,1,-54,160
25,1,1,-99,1,-54,160
25,1,1,-99,1,-54,160
25,1,1,-99,1,-54,160
25,1,1,-99,1,-54,160
25,1,1,-99,1,-54,160
25,1,1,-99,1,-54,160
25,1,1,-99,1,-54,160
25,1,1,-99,1,-54,160
25,1,1,-99,1,-54,160
25,1,1,-99,1,-54,160
25,1,1,-99,1,-54,160
25,1,1,-99,1,-54,160
25,1,1,-99,1,-54,160
25,1,1,-99,1,-54,160
25,1,1,-99,1,-54,160
25,1,1,-99,1,-54,160
25,1,1,-99,1,-54,160
25,1,1,-99,1,-54,160
25,1,1,-99,1,-54,160
25,1,1,-99,1,-54,160
25,1,1,-99,1,-54,160
25,1,1,-99,1,-54,160
25,1,1,-99,1,-54,160
25,1,1,-99,1,-54,160
25,1,1,-99,1,-54,160
25,1,1,-99,1,-54,160
25,1,1,-99,1,-54,160
25,1,1,-99,1,-54,160
25,1,1,-99,1,-54,160
25,1,1,-99,1,-54,160
25,1,1,-99,1,-54,160
26,-3,0,-99,-2,66,120
26,-3,0,-99,-2,66,120
26,-3,0,-99,-2,66,120
26,-3,0,-99,-2,66,120
26,-3,0,-99,-2,66,120
26,-3,0,-99,-2,66,120
26,-3,0,-99,-2,66,120
26,-3,0,-99,-2,66,120
26,-3,0,-99,-2,66,120
26,-3,0,-99,-2,66,120
26,-3,0,-99,-2,66,120
26,-3,0,-99,-2,66,120
26,-3,0,-99,-2,66,120
26,-3,0,-99,-2,66,120
26,-3,0,-99,-2,66,120
26,-3,0,-99,-2,66,120
26,-3,0,-99,-2,66,120
26,-3,0,-99,-2,66,120
26,-3,0,-99,-2,66,120
26,-3,0,-99,-2,66,120
26,-3,0,-99,-2,66,120
26,-3,0,-99,-2,66,120
26,-3,0,-99,-2,66,120
26,-3,0,-99,-2,66,120
26,-3,0,-99,-2,66,120
26,-3,0,-99,-2,66,120
26,-3,0,-99,-2,66,120
26,-3,0,-99,-2,66,120
26,-3,0,-99,-2,66,120
26,-3,0,-99,-2,66,120
26,-3,0,-99,-2,66,120
26,-3,0,-99,-2,66,120
26,-3,0,-99,-2,66,120
26,-3,0,-99,-2,66,120
26,-3,0,-99,-2,66,120
26,-3,0,-99,-2,66,120
26,-3,0,-99,-2,66,120
26,-3,0,-99,-2,66,120
26,-3,0,-99,-2,66,120
26,-3,0,-99,-2,66,120
26,-3,0,-99,-2,66,120
26,-3,0,-99,-2,66,120
26,-3,0,-99,-2,66,120
26,-3,0,-99,-2,66,120
26,-3,0,-99,-2,66,120
26,-3,0,-99,-2,66,120
26,-3,0,-99,-2,66,120
26,-3,0,-99,-2,66,120
26,-3,0,-99,-2,66,120
26,-3,0,-99,-2,66,120
26,-3,0,-99,-2,66,120
26,-3,0,-99,-2,66,120
26,-3,0,-99,-2,66,120
26,-3,0,-99,-2,66,120
26,-3,0,-99,-2,66,120
26,-3,0,-99,-2,66,120
26,-3,0,-99,-2,66,120
26,-3,0,-99,-2,66,120
26,-3,0,-99,-2,66,120
26,-3,0,-99,-2,66,120
26,-3,0,-99,-2,66,120
27,-4,0,-99,-3,98,40
27,-4,0,-99,-3,98,40
27,-4,0,-99,-3,98,40
27,-4,0,-99,-3,98,40
27,-4,0,-99,-3,98,40
27,-4,0,-99,-3,98,40
27,-4,0,-99,-3,98,40
27,-4,0,-99,-3,98,40
27,-4,0,-99,-3,98,40
27,-4,0,-99,-3,98,40
27,-4,0,-99,-3,98,40
27,-4,0,-99,-3,98,40
27,-4,0,-99,-3,98,40
27,-4,0,-99,-3,98,40
27,-4,0,-99,-3,98,40
27,-4,0,-99,-3,98,40
27,-4,0,-99,-3,98,40
27,-4,0,-99,-3,98,40
27,-4,0,-99,-3,98,40
27,-4,0,-99,-3,98,40
27,-4,0,-99,-3,98,40
27,-4,0,-99,-3,98,40
27,-4,0,-99,-3,98,40
27,-4,0,-99,-3,98,40
27,-4,0,-99,-3,98,40
27,-4,0,-99,-3,98,40
27,-4,0,-99,-3,98,40
27,-4,0,-99,-3,98,40
27,-4,0,-99,-3,98,40
27,-4,0,-99,-3,98,40
27,-4,0,-99,-3,98,40
27,-4,0,-99,-3,98,40
27,-4,0,-99,-3,98,40
27,-4,0,-99,-3,98,40
27,-4,0,-99,-3,98,40
27,-4,0,-99,-3,98,40
27,-4,0,-99,-3,98,40
27,-4,0,-99,-3,98,40
27,-4,0,-99,-3,98,40
27,-4,0,-99,-3,98,40
27,-4,0,-99,-3,98,40
27,-4,0,-99,-3,98,40
27,-4,0,-99,-3,98,40
27,-4,0,-99,-3,98,40
27,-4,0,-99,-3,98,40
27,-4,0,-99,-3,98,40
27,-4,0,-99,-3,98,40
27,-4,0,-99,-3,98,40
27,-4,0,-99,-3,98,40
27,-4,0,-99,-3,98,40
27,-4,0,-99,-3,98,40
27,-4,0,-99,-3,98,40
27,-4,0,-99,-3,98,40
27,-4,0,-99,-3,98,40
27,-4,0,-99,-3,98,40
27,-4,0,-99,-3,98,40
