Data_Number,State,Action,Reward,Angle,Acceleration,pos_cart
1,7,0,-99,7,57,0
2,1,0,-99,1,60,0
3,-6,0,-99,-5,58,0
4,-6,1,-99,-5,64,0
5,-3,0,-99,-2,61,0
6,1,1,-99,1,58,0
7,1,0,-99,1,55,0
8,0,0,-100,0,59,0
9,-2,1,-99,-1,53,0
10,-7,0,-99,-6,54,0
11,-2,1,-99,-1,58,40
12,3,0,-99,3,61,40
13,2,1,-99,2,63,40
14,-2,0,-99,-1,56,40
15,-3,1,-99,-2,64,40
16,-3,0,-99,-2,57,40
17,-2,0,-99,-1,59,40
18,-2,1,-99,-1,60,40
19,-2,0,-99,-1,57,40
19,-2,0,-99,-1,57,40
19,-2,0,-99,-1,57,40
19,-2,0,-99,-1,57,40
19,-2,0,-99,-1,57,40
19,-2,0,-99,-1,57,40
19,-2,0,-99,-1,57,40
19,-2,0,-99,-1,57,40
19,-2,0,-99,-1,57,40
19,-2,0,-99,-1,57,40
19,-2,0,-99,-1,57,40
19,-2,0,-99,-1,57,40
19,-2,0,-99,-1,57,40
19,-2,0,-99,-1,57,40
19,-2,0,-99,-1,57,40
19,-2,0,-99,-1,57,40
19,-2,0,-99,-1,57,40
19,-2,0,-99,-1,57,40
19,-2,0,-99,-1,57,40
20,-8,0,-99,-7,43,80
20,-8,0,-99,-7,43,80
20,-8,0,-99,-7,43,80
20,-8,0,-99,-7,43,80
20,-8,0,-99,-7,43,80
20,-8,0,-99,-7,43,80
20,-8,0,-99,-7,43,80
20,-8,0,-99,-7,43,80
20,-8,0,-99,-7,43,80
20,-8,0,-99,-7,43,80
20,-8,0,-99,-7,43,80
20,-8,0,-99,-7,43,80
20,-8,0,-99,-7,43,80
20,-8,0,-99,-7,43,80
20,-8,0,-99,-7,43,80
20,-8,0,-99,-7,43,80
20,-8,0,-99,-7,43,80
20,-8,0,-99,-7,43,80
20,-8,0,-99,-7,43,80
20,-8,0,-99,-7,43,80
20,-8,0,-99,-7,43,80
20,-8,0,-99,-7,43,80
20,-8,0,-99,-7,43,80
20,-8,0,-99,-7,43,80
20,-8,0,-99,-7,43,80
20,-8,0,-99,-7,43,80
20,-8,0,-99,-7,43,80
20,-8,0,-99,-7,43,80
20,-8,0,-99,-7,43,80
20,-8,0,-99,-7,43,80
20,-8,0,-99,-7,43,80
20,-8,0,-99,-7,43,80
20,-8,0,-99,-7,43,80
20,-8,0,-99,-7,43,80
20,-8,0,-99,-7,43,80
20,-8,0,-99,-7,43,80
20,-8,0,-99,-7,43,80
20,-8,0,-99,-7,43,80
20,-8,0,-99,-7,43,80
20,-8,0,-99,-7,43,80
20,-8,0,-99,-7,43,80
20,-8,0,-99,-7,43,80
20,-8,0,-99,-7,43,80
20,-8,0,-99,-7,43,80
20,-8,0,-99,-7,43,80
20,-8,0,-99,-7,43,80
20,-8,0,-99,-7,43,80
20,-8,0,-99,-7,43,80
20,-8,0,-99,-7,43,80
20,-8,0,-99,-7,43,80
20,-8,0,-99,-7,43,80
20,-8,0,-99,-7,43,80
20,-8,0,-99,-7,43,80
20,-8,0,-99,-7,43,80
20,-8,0,-99,-7,43,80
20,-8,0,-99,-7,43,80
20,-8,0,-99,-7,43,80
20,-8,0,-99,-7,43,80
20,-8,0,-99,-7,43,80
20,-8,0,-99,-7,43,80
20,-8,0,-99,-7,43,80
20,-8,0,-99,-7,43,80
21,-9,1,-99,-8,41,120
21,-9,1,-99,-8,41,120
21,-9,1,-99,-8,41,120
21,-9,1,-99,-8,41,120
21,-9,1,-99,-8,41,120
21,-9,1,-99,-8,41,120
21,-9,1,-99,-8,41,120
21,-9,1,-99,-8,41,120
21,-9,1,-99,-8,41,120
21,-9,1,-99,-8,41,120
21,-9,1,-99,-8,41,120
