Data_Number,State,Action,Reward,Angle,Acceleration,pos_cart
1,7,0,-99,7,57,0
2,2,1,-99,2,70,0
3,-5,1,-99,-4,50,0
4,-6,1,-99,-5,65,0
5,-3,0,-99,-2,61,0
6,1,0,-99,1,55,0
7,1,1,-99,1,69,0
8,-2,1,-99,-1,51,0
9,-2,0,-99,-1,63,0
10,-6,1,-99,-5,69,0
11,-3,1,-99,-2,64,40
12,3,1,-99,3,53,40
13,3,0,-99,3,67,40
14,-2,1,-99,-1,56,40
15,-4,1,-99,-3,65,40
16,-3,0,-99,-2,57,40
17,-2,0,-99,-1,68,40
18,-2,1,-99,-1,54,40
19,-2,0,-99,-1,65,40
19,-2,0,-99,-1,65,40
19,-2,0,-99,-1,65,40
19,-2,0,-99,-1,65,40
19,-2,0,-99,-1,65,40
19,-2,0,-99,-1,65,40
19,-2,0,-99,-1,65,40
19,-2,0,-99,-1,65,40
19,-2,0,-99,-1,65,40
19,-2,0,-99,-1,65,40
19,-2,0,-99,-1,65,40
19,-2,0,-99,-1,65,40
19,-2,0,-99,-1,65,40
19,-2,0,-99,-1,65,40
19,-2,0,-99,-1,65,40
19,-2,0,-99,-1,65,40
20,-7,1,-99,-6,4,40
20,-7,1,-99,-6,4,40
20,-7,1,-99,-6,4,40
20,-7,1,-99,-6,4,40
20,-7,1,-99,-6,4,40
20,-7,1,-99,-6,4,40
20,-7,1,-99,-6,4,40
20,-7,1,-99,-6,4,40
20,-7,1,-99,-6,4,40
20,-7,1,-99,-6,4,40
20,-7,1,-99,-6,4,40
20,-7,1,-99,-6,4,40
20,-7,1,-99,-6,4,40
20,-7,1,-99,-6,4,40
20,-7,1,-99,-6,4,40
20,-7,1,-99,-6,4,40
20,-7,1,-99,-6,4,40
20,-7,1,-99,-6,4,40
20,-7,1,-99,-6,4,40
20,-7,1,-99,-6,4,40
20,-7,1,-99,-6,4,40
20,-7,1,-99,-6,4,40
20,-7,1,-99,-6,4,40
20,-7,1,-99,-6,4,40
20,-7,1,-99,-6,4,40
20,-7,1,-99,-6,4,40
20,-7,1,-99,-6,4,40
20,-7,1,-99,-6,4,40
20,-7,1,-99,-6,4,40
20,-7,1,-99,-6,4,40
20,-7,1,-99,-6,4,40
20,-7,1,-99,-6,4,40
20,-7,1,-99,-6,4,40
20,-7,1,-99,-6,4,40
20,-7,1,-99,-6,4,40
20,-7,1,-99,-6,4,40
20,-7,1,-99,-6,4,40
20,-7,1,-99,-6,4,40
20,-7,1,-99,-6,4,40
20,-7,1,-99,-6,4,40
20,-7,1,-99,-6,4,40
20,-7,1,-99,-6,4,40
20,-7,1,-99,-6,4,40
20,-7,1,-99,-6,4,40
20,-7,1,-99,-6,4,40
20,-7,1,-99,-6,4,40
20,-7,1,-99,-6,4,40
20,-7,1,-99,-6,4,40
20,-7,1,-99,-6,4,40
20,-7,1,-99,-6,4,40
20,-7,1,-99,-6,4,40
20,-7,1,-99,-6,4,40
20,-7,1,-99,-6,4,40
20,-7,1,-99,-6,4,40
20,-7,1,-99,-6,4,40
20,-7,1,-99,-6,4,40
20,-7,1,-99,-6,4,40
20,-7,1,-99,-6,4,40
20,-7,1,-99,-6,4,40
