Data_Number,State,Action,Reward,Angle,Acceleration,pos_cart
1,6,1,-99,6,69,0
2,0,1,-100,0,66,0
3,-6,1,-99,-5,73,0
4,-5,1,-99,-4,73,0
5,-2,1,-99,-1,60,0
6,0,0,-100,0,64,0
7,0,1,-100,0,60,0
8,-2,0,-99,-1,67,0
9,-2,1,-99,-1,64,0
10,-7,0,-99,-6,139,40
11,0,0,-100,0,72,40
12,3,1,-99,3,70,40
13,2,0,-99,2,63,40
14,-2,0,-99,-1,61,40
15,-3,1,-99,-2,68,40
16,-3,0,-99,-2,67,40
17,-2,1,-99,-1,60,40
18,-2,0,-99,-1,66,40
19,-2,1,-99,-1,62,40
19,-2,1,-99,-1,62,40
19,-2,1,-99,-1,62,40
19,-2,1,-99,-1,62,40
19,-2,1,-99,-1,62,40
19,-2,1,-99,-1,62,40
19,-2,1,-99,-1,62,40
19,-2,1,-99,-1,62,40
19,-2,1,-99,-1,62,40
19,-2,1,-99,-1,62,40
19,-2,1,-99,-1,62,40
19,-2,1,-99,-1,62,40
19,-2,1,-99,-1,62,40
19,-2,1,-99,-1,62,40
19,-2,1,-99,-1,62,40
19,-2,1,-99,-1,62,40
19,-2,1,-99,-1,62,40
19,-2,1,-99,-1,62,40
19,-2,1,-99,-1,62,40
19,-2,1,-99,-1,62,40
19,-2,1,-99,-1,62,40
19,-2,1,-99,-1,62,40
19,-2,1,-99,-1,62,40
19,-2,1,-99,-1,62,40
19,-2,1,-99,-1,62,40
19,-2,1,-99,-1,62,40
19,-2,1,-99,-1,62,40
19,-2,1,-99,-1,62,40
19,-2,1,-99,-1,62,40
19,-2,1,-99,-1,62,40
20,6,0,-99,6,123,0
20,6,0,-99,6,123,0
20,6,0,-99,6,123,0
20,6,0,-99,6,123,0
20,6,0,-99,6,123,0
20,6,0,-99,6,123,0
20,6,0,-99,6,123,0
20,6,0,-99,6,123,0
20,6,0,-99,6,123,0
20,6,0,-99,6,123,0
20,6,0,-99,6,123,0
20,6,0,-99,6,123,0
20,6,0,-99,6,123,0
20,6,0,-99,6,123,0
20,6,0,-99,6,123,0
20,6,0,-99,6,123,0
20,6,0,-99,6,123,0
20,6,0,-99,6,123,0
20,6,0,-99,6,123,0
20,6,0,-99,6,123,0
20,6,0,-99,6,123,0
20,6,0,-99,6,123,0
20,6,0,-99,6,123,0
20,6,0,-99,6,123,0
20,6,0,-99,6,123,0
20,6,0,-99,6,123,0
20,6,0,-99,6,123,0
20,6,0,-99,6,123,0
20,6,0,-99,6,123,0
20,6,0,-99,6,123,0
20,6,0,-99,6,123,0
20,6,0,-99,6,123,0
20,6,0,-99,6,123,0
20,6,0,-99,6,123,0
20,6,0,-99,6,123,0
20,6,0,-99,6,123,0
20,6,0,-99,6,123,0
20,6,0,-99,6,123,0
20,6,0,-99,6,123,0
20,6,0,-99,6,123,0
20,6,0,-99,6,123,0
20,6,0,-99,6,123,0
20,6,0,-99,6,123,0
20,6,0,-99,6,123,0
20,6,0,-99,6,123,0
20,6,0,-99,6,123,0
20,6,0,-99,6,123,0
20,6,0,-99,6,123,0
21,6,1,-99,6,69,-40
21,6,1,-99,6,69,-40
21,6,1,-99,6,69,-40
21,6,1,-99,6,69,-40
21,6,1,-99,6,69,-40
21,6,1,-99,6,69,-40
21,6,1,-99,6,69,-40
21,6,1,-99,6,69,-40
21,6,1,-99,6,69,-40
21,6,1,-99,6,69,-40
21,6,1,-99,6,69,-40
21,6,1,-99,6,69,-40
21,6,1,-99,6,69,-40
21,6,1,-99,6,69,-40
21,6,1,-99,6,69,-40
21,6,1,-99,6,69,-40
21,6,1,-99,6,69,-40
21,6,1,-99,6,69,-40
21,6,1,-99,6,69,-40
21,6,1,-99,6,69,-40
21,6,1,-99,6,69,-40
21,6,1,-99,6,69,-40
21,6,1,-99,6,69,-40
21,6,1,-99,6,69,-40
21,6,1,-99,6,69,-40
21,6,1,-99,6,69,-40
21,6,1,-99,6,69,-40
21,6,1,-99,6,69,-40
21,6,1,-99,6,69,-40
21,6,1,-99,6,69,-40
21,6,1,-99,6,69,-40
21,6,1,-99,6,69,-40
21,6,1,-99,6,69,-40
21,6,1,-99,6,69,-40
21,6,1,-99,6,69,-40
21,6,1,-99,6,69,-40
21,6,1,-99,6,69,-40
21,6,1,-99,6,69,-40
21,6,1,-99,6,69,-40
21,6,1,-99,6,69,-40
21,6,1,-99,6,69,-40
21,6,1,-99,6,69,-40
21,6,1,-99,6,69,-40
21,6,1,-99,6,69,-40
21,6,1,-99,6,69,-40
21,6,1,-99,6,69,-40
21,6,1,-99,6,69,-40
21,6,1,-99,6,69,-40
21,6,1,-99,6,69,-40
21,6,1,-99,6,69,-40
21,6,1,-99,6,69,-40
21,6,1,-99,6,69,-40
21,6,1,-99,6,69,-40
21,6,1,-99,6,69,-40
21,6,1,-99,6,69,-40
21,6,1,-99,6,69,-40
21,6,1,-99,6,69,-40
21,6,1,-99,6,69,-40
21,6,1,-99,6,69,-40
21,6,1,-99,6,69,-40
21,6,1,-99,6,69,-40
21,6,1,-99,6,69,-40
21,6,1,-99,6,69,-40
21,6,1,-99,6,69,-40
21,6,1,-99,6,69,-40
21,6,1,-99,6,69,-40
22,-2,0,-99,-1,100,-120
22,-2,0,-99,-1,100,-120
22,-2,0,-99,-1,100,-120
22,-2,0,-99,-1,100,-120
22,-2,0,-99,-1,100,-120
22,-2,0,-99,-1,100,-120
22,-2,0,-99,-1,100,-120
22,-2,0,-99,-1,100,-120
22,-2,0,-99,-1,100,-120
22,-2,0,-99,-1,100,-120
22,-2,0,-99,-1,100,-120
22,-2,0,-99,-1,100,-120
22,-2,0,-99,-1,100,-120
22,-2,0,-99,-1,100,-120
22,-2,0,-99,-1,100,-120
22,-2,0,-99,-1,100,-120
22,-2,0,-99,-1,100,-120
22,-2,0,-99,-1,100,-120
22,-2,0,-99,-1,100,-120
22,-2,0,-99,-1,100,-120
22,-2,0,-99,-1,100,-120
22,-2,0,-99,-1,100,-120
22,-2,0,-99,-1,100,-120
22,-2,0,-99,-1,100,-120
22,-2,0,-99,-1,100,-120
22,-2,0,-99,-1,100,-120
22,-2,0,-99,-1,100,-120
22,-2,0,-99,-1,100,-120
22,-2,0,-99,-1,100,-120
22,-2,0,-99,-1,100,-120
22,-2,0,-99,-1,100,-120
22,-2,0,-99,-1,100,-120
22,-2,0,-99,-1,100,-120
22,-2,0,-99,-1,100,-120
22,-2,0,-99,-1,100,-120
22,-2,0,-99,-1,100,-120
22,-2,0,-99,-1,100,-120
22,-2,0,-99,-1,100,-120
22,-2,0,-99,-1,100,-120
22,-2,0,-99,-1,100,-120
22,-2,0,-99,-1,100,-120
22,-2,0,-99,-1,100,-120
22,-2,0,-99,-1,100,-120
22,-2,0,-99,-1,100,-120
22,-2,0,-99,-1,100,-120
22,-2,0,-99,-1,100,-120
22,-2,0,-99,-1,100,-120
22,-2,0,-99,-1,100,-120
22,-2,0,-99,-1,100,-120
22,-2,0,-99,-1,100,-120
22,-2,0,-99,-1,100,-120
23,-19,0,-96,-17,9,-160
23,-19,0,-96,-17,9,-160
23,-19,0,-96,-17,9,-160
23,-19,0,-96,-17,9,-160
23,-19,0,-96,-17,9,-160
23,-19,0,-96,-17,9,-160
23,-19,0,-96,-17,9,-160
23,-19,0,-96,-17,9,-160
23,-19,0,-96,-17,9,-160
23,-19,0,-96,-17,9,-160
23,-19,0,-96,-17,9,-160
23,-19,0,-96,-17,9,-160
23,-19,0,-96,-17,9,-160
23,-19,0,-96,-17,9,-160
23,-19,0,-96,-17,9,-160
23,-19,0,-96,-17,9,-160
23,-19,0,-96,-17,9,-160
23,-19,0,-96,-17,9,-160
23,-19,0,-96,-17,9,-160
23,-19,0,-96,-17,9,-160
23,-19,0,-96,-17,9,-160
23,-19,0,-96,-17,9,-160
23,-19,0,-96,-17,9,-160
23,-19,0,-96,-17,9,-160
23,-19,0,-96,-17,9,-160
23,-19,0,-96,-17,9,-160
23,-19,0,-96,-17,9,-160
23,-19,0,-96,-17,9,-160
23,-19,0,-96,-17,9,-160
23,-19,0,-96,-17,9,-160
23,-19,0,-96,-17,9,-160
23,-19,0,-96,-17,9,-160
23,-19,0,-96,-17,9,-160
23,-19,0,-96,-17,9,-160
23,-19,0,-96,-17,9,-160
23,-19,0,-96,-17,9,-160
23,-19,0,-96,-17,9,-160
23,-19,0,-96,-17,9,-160
23,-19,0,-96,-17,9,-160
23,-19,0,-96,-17,9,-160
23,-19,0,-96,-17,9,-160
23,-19,0,-96,-17,9,-160
23,-19,0,-96,-17,9,-160
23,-19,0,-96,-17,9,-160
23,-19,0,-96,-17,9,-160
23,-19,0,-96,-17,9,-160
23,-19,0,-96,-17,9,-160
23,-19,0,-96,-17,9,-160
24,-14,1,-98,-12,-20,-160
24,-14,1,-98,-12,-20,-160
24,-14,1,-98,-12,-20,-160
24,-14,1,-98,-12,-20,-160
24,-14,1,-98,-12,-20,-160
24,-14,1,-98,-12,-20,-160
24,-14,1,-98,-12,-20,-160
24,-14,1,-98,-12,-20,-160
24,-14,1,-98,-12,-20,-160
24,-14,1,-98,-12,-20,-160
24,-14,1,-98,-12,-20,-160
24,-14,1,-98,-12,-20,-160
24,-14,1,-98,-12,-20,-160
24,-14,1,-98,-12,-20,-160
24,-14,1,-98,-12,-20,-160
24,-14,1,-98,-12,-20,-160
24,-14,1,-98,-12,-20,-160
24,-14,1,-98,-12,-20,-160
24,-14,1,-98,-12,-20,-160
24,-14,1,-98,-12,-20,-160
24,-14,1,-98,-12,-20,-160
24,-14,1,-98,-12,-20,-160
24,-14,1,-98,-12,-20,-160
24,-14,1,-98,-12,-20,-160
24,-14,1,-98,-12,-20,-160
24,-14,1,-98,-12,-20,-160
24,-14,1,-98,-12,-20,-160
24,-14,1,-98,-12,-20,-160
24,-14,1,-98,-12,-20,-160
24,-14,1,-98,-12,-20,-160
24,-14,1,-98,-12,-20,-160
24,-14,1,-98,-12,-20,-160
24,-14,1,-98,-12,-20,-160
24,-14,1,-98,-12,-20,-160
24,-14,1,-98,-12,-20,-160
25,3,0,-99,3,63,-160
25,3,0,-99,3,63,-160
25,3,0,-99,3,63,-160
25,3,0,-99,3,63,-160
25,3,0,-99,3,63,-160
25,3,0,-99,3,63,-160
25,3,0,-99,3,63,-160
25,3,0,-99,3,63,-160
25,3,0,-99,3,63,-160
25,3,0,-99,3,63,-160
25,3,0,-99,3,63,-160
25,3,0,-99,3,63,-160
25,3,0,-99,3,63,-160
25,3,0,-99,3,63,-160
25,3,0,-99,3,63,-160
25,3,0,-99,3,63,-160
25,3,0,-99,3,63,-160
25,3,0,-99,3,63,-160
25,3,0,-99,3,63,-160
25,3,0,-99,3,63,-160
25,3,0,-99,3,63,-160
25,3,0,-99,3,63,-160
25,3,0,-99,3,63,-160
25,3,0,-99,3,63,-160
25,3,0,-99,3,63,-160
25,3,0,-99,3,63,-160
25,3,0,-99,3,63,-160
25,3,0,-99,3,63,-160
25,3,0,-99,3,63,-160
25,3,0,-99,3,63,-160
25,3,0,-99,3,63,-160
25,3,0,-99,3,63,-160
25,3,0,-99,3,63,-160
25,3,0,-99,3,63,-160
25,3,0,-99,3,63,-160
26,3,1,-99,3,129,-120
26,3,1,-99,3,129,-120
26,3,1,-99,3,129,-120
26,3,1,-99,3,129,-120
26,3,1,-99,3,129,-120
26,3,1,-99,3,129,-120
26,3,1,-99,3,129,-120
26,3,1,-99,3,129,-120
26,3,1,-99,3,129,-120
26,3,1,-99,3,129,-120
26,3,1,-99,3,129,-120
26,3,1,-99,3,129,-120
26,3,1,-99,3,129,-120
26,3,1,-99,3,129,-120
26,3,1,-99,3,129,-120
26,3,1,-99,3,129,-120
26,3,1,-99,3,129,-120
26,3,1,-99,3,129,-120
26,3,1,-99,3,129,-120
26,3,1,-99,3,129,-120
26,3,1,-99,3,129,-120
26,3,1,-99,3,129,-120
26,3,1,-99,3,129,-120
26,3,1,-99,3,129,-120
26,3,1,-99,3,129,-120
26,3,1,-99,3,129,-120
26,3,1,-99,3,129,-120
26,3,1,-99,3,129,-120
26,3,1,-99,3,129,-120
26,3,1,-99,3,129,-120
26,3,1,-99,3,129,-120
26,3,1,-99,3,129,-120
26,3,1,-99,3,129,-120
26,3,1,-99,3,129,-120
26,3,1,-99,3,129,-120
26,3,1,-99,3,129,-120
26,3,1,-99,3,129,-120
26,3,1,-99,3,129,-120
26,3,1,-99,3,129,-120
26,3,1,-99,3,129,-120
26,3,1,-99,3,129,-120
26,3,1,-99,3,129,-120
26,3,1,-99,3,129,-120
26,3,1,-99,3,129,-120
26,3,1,-99,3,129,-120
26,3,1,-99,3,129,-120
26,3,1,-99,3,129,-120
26,3,1,-99,3,129,-120
26,3,1,-99,3,129,-120
26,3,1,-99,3,129,-120
26,3,1,-99,3,129,-120
27,11,0,-98,10,226,-120
27,11,0,-98,10,226,-120
27,11,0,-98,10,226,-120
27,11,0,-98,10,226,-120
27,11,0,-98,10,226,-120
27,11,0,-98,10,226,-120
27,11,0,-98,10,226,-120
27,11,0,-98,10,226,-120
27,11,0,-98,10,226,-120
27,11,0,-98,10,226,-120
27,11,0,-98,10,226,-120
27,11,0,-98,10,226,-120
27,11,0,-98,10,226,-120
27,11,0,-98,10,226,-120
27,11,0,-98,10,226,-120
27,11,0,-98,10,226,-120
27,11,0,-98,10,226,-120
27,11,0,-98,10,226,-120
27,11,0,-98,10,226,-120
27,11,0,-98,10,226,-120
27,11,0,-98,10,226,-120
27,11,0,-98,10,226,-120
27,11,0,-98,10,226,-120
27,11,0,-98,10,226,-120
27,11,0,-98,10,226,-120
27,11,0,-98,10,226,-120
27,11,0,-98,10,226,-120
27,11,0,-98,10,226,-120
27,11,0,-98,10,226,-120
27,11,0,-98,10,226,-120
27,11,0,-98,10,226,-120
27,11,0,-98,10,226,-120
27,11,0,-98,10,226,-120
27,11,0,-98,10,226,-120
27,11,0,-98,10,226,-120
27,11,0,-98,10,226,-120
27,11,0,-98,10,226,-120
27,11,0,-98,10,226,-120
27,11,0,-98,10,226,-120
27,11,0,-98,10,226,-120
27,11,0,-98,10,226,-120
27,11,0,-98,10,226,-120
27,11,0,-98,10,226,-120
27,11,0,-98,10,226,-120
27,11,0,-98,10,226,-120
27,11,0,-98,10,226,-120
27,11,0,-98,10,226,-120
27,11,0,-98,10,226,-120
27,11,0,-98,10,226,-120
27,11,0,-98,10,226,-120
27,11,0,-98,10,226,-120
27,11,0,-98,10,226,-120
27,11,0,-98,10,226,-120
27,11,0,-98,10,226,-120
27,11,0,-98,10,226,-120
27,11,0,-98,10,226,-120
28,-6,0,-99,-5,87,-80
28,-6,0,-99,-5,87,-80
28,-6,0,-99,-5,87,-80
28,-6,0,-99,-5,87,-80
28,-6,0,-99,-5,87,-80
28,-6,0,-99,-5,87,-80
28,-6,0,-99,-5,87,-80
28,-6,0,-99,-5,87,-80
28,-6,0,-99,-5,87,-80
28,-6,0,-99,-5,87,-80
28,-6,0,-99,-5,87,-80
28,-6,0,-99,-5,87,-80
28,-6,0,-99,-5,87,-80
28,-6,0,-99,-5,87,-80
