Data_Number,State,Action,Reward,Angle,Acceleration,pos_cart
0,7,0,-99,7,58,0
1,5,0,-99,5,59,0
2,-2,0,-99,-1,62,0
3,-5,1,-99,-4,62,0
4,-4,0,-99,-3,56,0
5,-2,1,-99,-1,58,0
6,0,0,-100,0,60,0
7,0,0,-100,0,58,0
8,-2,0,-99,-1,62,0
9,-2,1,-99,-1,59,0
10,-6,1,-99,-5,-3,40
11,1,1,-99,1,52,40
12,3,1,-99,3,52,40
13,1,0,-99,1,62,40
14,-2,0,-99,-1,57,40
15,-3,0,-99,-2,58,40
16,-2,1,-99,-1,53,40
17,-2,0,-99,-1,54,40
18,-2,1,-99,-1,59,40
19,-3,1,-99,-2,78,40
19,-3,1,-99,-2,78,40
19,-3,1,-99,-2,78,40
19,-3,1,-99,-2,78,40
19,-3,1,-99,-2,78,40
19,-3,1,-99,-2,78,40
19,-3,1,-99,-2,78,40
19,-3,1,-99,-2,78,40
19,-3,1,-99,-2,78,40
19,-3,1,-99,-2,78,40
19,-3,1,-99,-2,78,40
19,-3,1,-99,-2,78,40
19,-3,1,-99,-2,78,40
19,-3,1,-99,-2,78,40
19,-3,1,-99,-2,78,40
19,-3,1,-99,-2,78,40
19,-3,1,-99,-2,78,40
19,-3,1,-99,-2,78,40
19,-3,1,-99,-2,78,40
19,-3,1,-99,-2,78,40
19,-3,1,-99,-2,78,40
19,-3,1,-99,-2,78,40
19,-3,1,-99,-2,78,40
19,-3,1,-99,-2,78,40
19,-3,1,-99,-2,78,40
19,-3,1,-99,-2,78,40
19,-3,1,-99,-2,78,40
19,-3,1,-99,-2,78,40
19,-3,1,-99,-2,78,40
19,-3,1,-99,-2,78,40
19,-3,1,-99,-2,78,40
19,-3,1,-99,-2,78,40
19,-3,1,-99,-2,78,40
19,-3,1,-99,-2,78,40
19,-3,1,-99,-2,78,40
19,-3,1,-99,-2,78,40
19,-3,1,-99,-2,78,40
19,-3,1,-99,-2,78,40
19,-3,1,-99,-2,78,40
19,-3,1,-99,-2,78,40
19,-3,1,-99,-2,78,40
19,-3,1,-99,-2,78,40
19,-3,1,-99,-2,78,40
19,-3,1,-99,-2,78,40
19,-3,1,-99,-2,78,40
19,-3,1,-99,-2,78,40
19,-3,1,-99,-2,78,40
19,-3,1,-99,-2,78,40
19,-3,1,-99,-2,78,40
19,-3,1,-99,-2,78,40
19,-3,1,-99,-2,78,40
19,-3,1,-99,-2,78,40
19,-3,1,-99,-2,78,40
19,-3,1,-99,-2,78,40
19,-3,1,-99,-2,78,40
19,-3,1,-99,-2,78,40
19,-3,1,-99,-2,78,40
19,-3,1,-99,-2,78,40
19,-3,1,-99,-2,78,40
