Data_Number,State,Action,Reward,Angle,Acceleration,pos_cart
1,7,1,-99,7,58,0
2,1,1,-99,1,60,0
3,-4,1,-99,-3,55,0
4,-5,0,-99,-4,55,0
5,-3,0,-99,-2,52,0
6,-2,0,-99,-1,55,0
7,0,0,-100,0,56,0
8,-2,1,-99,-1,59,0
9,-2,0,-99,-1,58,0
10,-7,1,-99,-6,5,0
11,-2,1,-99,-1,31,40
12,3,1,-99,3,61,40
13,2,0,-99,2,50,40
14,-2,0,-99,-1,49,40
15,-3,1,-99,-2,50,40
16,-3,0,-99,-2,55,40
17,-2,1,-99,-1,60,40
18,-2,0,-99,-1,52,40
19,-2,1,-99,-1,54,40
19,-2,1,-99,-1,54,40
19,-2,1,-99,-1,54,40
19,-2,1,-99,-1,54,40
19,-2,1,-99,-1,54,40
19,-2,1,-99,-1,54,40
19,-2,1,-99,-1,54,40
19,-2,1,-99,-1,54,40
19,-2,1,-99,-1,54,40
19,-2,1,-99,-1,54,40
19,-2,1,-99,-1,54,40
19,-2,1,-99,-1,54,40
20,5,0,-99,5,41,0
20,5,0,-99,5,41,0
20,5,0,-99,5,41,0
20,5,0,-99,5,41,0
20,5,0,-99,5,41,0
20,5,0,-99,5,41,0
20,5,0,-99,5,41,0
20,5,0,-99,5,41,0
20,5,0,-99,5,41,0
20,5,0,-99,5,41,0
20,5,0,-99,5,41,0
20,5,0,-99,5,41,0
20,5,0,-99,5,41,0
20,5,0,-99,5,41,0
20,5,0,-99,5,41,0
20,5,0,-99,5,41,0
20,5,0,-99,5,41,0
20,5,0,-99,5,41,0
20,5,0,-99,5,41,0
20,5,0,-99,5,41,0
20,5,0,-99,5,41,0
20,5,0,-99,5,41,0
20,5,0,-99,5,41,0
20,5,0,-99,5,41,0
20,5,0,-99,5,41,0
20,5,0,-99,5,41,0
20,5,0,-99,5,41,0
20,5,0,-99,5,41,0
20,5,0,-99,5,41,0
20,5,0,-99,5,41,0
20,5,0,-99,5,41,0
20,5,0,-99,5,41,0
20,5,0,-99,5,41,0
20,5,0,-99,5,41,0
20,5,0,-99,5,41,0
20,5,0,-99,5,41,0
20,5,0,-99,5,41,0
20,5,0,-99,5,41,0
20,5,0,-99,5,41,0
20,5,0,-99,5,41,0
20,5,0,-99,5,41,0
20,5,0,-99,5,41,0
20,5,0,-99,5,41,0
20,5,0,-99,5,41,0
20,5,0,-99,5,41,0
20,5,0,-99,5,41,0
20,5,0,-99,5,41,0
20,5,0,-99,5,41,0
20,5,0,-99,5,41,0
20,5,0,-99,5,41,0
20,5,0,-99,5,41,0
20,5,0,-99,5,41,0
21,7,0,-99,7,21,-40
21,7,0,-99,7,21,-40
21,7,0,-99,7,21,-40
21,7,0,-99,7,21,-40
21,7,0,-99,7,21,-40
21,7,0,-99,7,21,-40
21,7,0,-99,7,21,-40
21,7,0,-99,7,21,-40
21,7,0,-99,7,21,-40
21,7,0,-99,7,21,-40
21,7,0,-99,7,21,-40
21,7,0,-99,7,21,-40
21,7,0,-99,7,21,-40
21,7,0,-99,7,21,-40
21,7,0,-99,7,21,-40
21,7,0,-99,7,21,-40
21,7,0,-99,7,21,-40
21,7,0,-99,7,21,-40
21,7,0,-99,7,21,-40
21,7,0,-99,7,21,-40
21,7,0,-99,7,21,-40
21,7,0,-99,7,21,-40
21,7,0,-99,7,21,-40
21,7,0,-99,7,21,-40
21,7,0,-99,7,21,-40
21,7,0,-99,7,21,-40
21,7,0,-99,7,21,-40
21,7,0,-99,7,21,-40
21,7,0,-99,7,21,-40
21,7,0,-99,7,21,-40
21,7,0,-99,7,21,-40
