Data_Number,State,Action,Reward,Angle,Acceleration,pos_cart
1,7,1,-99,7,63,0
2,-2,0,-99,-1,67,0
3,-6,1,-99,-5,58,0
4,-6,0,-99,-5,61,0
5,-2,1,-99,-1,58,0
6,1,0,-99,1,67,0
7,1,0,-99,1,58,0
8,-2,0,-99,-1,69,0
9,-3,1,-99,-2,57,0
10,-8,1,-99,-7,-13,40
11,1,1,-99,1,62,40
12,4,1,-99,4,71,40
13,2,1,-99,2,59,40
14,-3,0,-99,-2,68,40
15,-4,1,-99,-3,58,40
16,-3,1,-99,-2,68,40
17,-2,1,-99,-1,58,40
18,0,1,-100,0,72,40
19,-2,0,-99,-1,55,40
19,-2,0,-99,-1,55,40
19,-2,0,-99,-1,55,40
19,-2,0,-99,-1,55,40
19,-2,0,-99,-1,55,40
19,-2,0,-99,-1,55,40
19,-2,0,-99,-1,55,40
19,-2,0,-99,-1,55,40
19,-2,0,-99,-1,55,40
19,-2,0,-99,-1,55,40
19,-2,0,-99,-1,55,40
19,-2,0,-99,-1,55,40
19,-2,0,-99,-1,55,40
19,-2,0,-99,-1,55,40
19,-2,0,-99,-1,55,40
19,-2,0,-99,-1,55,40
19,-2,0,-99,-1,55,40
19,-2,0,-99,-1,55,40
19,-2,0,-99,-1,55,40
19,-2,0,-99,-1,55,40
19,-2,0,-99,-1,55,40
19,-2,0,-99,-1,55,40
19,-2,0,-99,-1,55,40
19,-2,0,-99,-1,55,40
19,-2,0,-99,-1,55,40
19,-2,0,-99,-1,55,40
19,-2,0,-99,-1,55,40
19,-2,0,-99,-1,55,40
19,-2,0,-99,-1,55,40
19,-2,0,-99,-1,55,40
19,-2,0,-99,-1,55,40
19,-2,0,-99,-1,55,40
19,-2,0,-99,-1,55,40
19,-2,0,-99,-1,55,40
20,1,0,-99,1,4,0
20,1,0,-99,1,4,0
20,1,0,-99,1,4,0
20,1,0,-99,1,4,0
20,1,0,-99,1,4,0
20,1,0,-99,1,4,0
20,1,0,-99,1,4,0
20,1,0,-99,1,4,0
20,1,0,-99,1,4,0
20,1,0,-99,1,4,0
20,1,0,-99,1,4,0
20,1,0,-99,1,4,0
20,1,0,-99,1,4,0
20,1,0,-99,1,4,0
20,1,0,-99,1,4,0
20,1,0,-99,1,4,0
20,1,0,-99,1,4,0
20,1,0,-99,1,4,0
20,1,0,-99,1,4,0
20,1,0,-99,1,4,0
20,1,0,-99,1,4,0
20,1,0,-99,1,4,0
20,1,0,-99,1,4,0
20,1,0,-99,1,4,0
20,1,0,-99,1,4,0
20,1,0,-99,1,4,0
20,1,0,-99,1,4,0
20,1,0,-99,1,4,0
20,1,0,-99,1,4,0
20,1,0,-99,1,4,0
20,1,0,-99,1,4,0
20,1,0,-99,1,4,0
20,1,0,-99,1,4,0
20,1,0,-99,1,4,0
20,1,0,-99,1,4,0
20,1,0,-99,1,4,0
20,1,0,-99,1,4,0
20,1,0,-99,1,4,0
20,1,0,-99,1,4,0
20,1,0,-99,1,4,0
20,1,0,-99,1,4,0
20,1,0,-99,1,4,0
20,1,0,-99,1,4,0
20,1,0,-99,1,4,0
20,1,0,-99,1,4,0
20,1,0,-99,1,4,0
20,1,0,-99,1,4,0
20,1,0,-99,1,4,0
20,1,0,-99,1,4,0
20,1,0,-99,1,4,0
20,1,0,-99,1,4,0
20,1,0,-99,1,4,0
20,1,0,-99,1,4,0
20,1,0,-99,1,4,0
20,1,0,-99,1,4,0
20,1,0,-99,1,4,0
20,1,0,-99,1,4,0
20,1,0,-99,1,4,0
20,1,0,-99,1,4,0
20,1,0,-99,1,4,0
20,1,0,-99,1,4,0
20,1,0,-99,1,4,0
20,1,0,-99,1,4,0
20,1,0,-99,1,4,0
20,1,0,-99,1,4,0
21,0,1,-100,0,99,40
21,0,1,-100,0,99,40
21,0,1,-100,0,99,40
21,0,1,-100,0,99,40
21,0,1,-100,0,99,40
21,0,1,-100,0,99,40
21,0,1,-100,0,99,40
21,0,1,-100,0,99,40
21,0,1,-100,0,99,40
21,0,1,-100,0,99,40
21,0,1,-100,0,99,40
21,0,1,-100,0,99,40
21,0,1,-100,0,99,40
21,0,1,-100,0,99,40
21,0,1,-100,0,99,40
21,0,1,-100,0,99,40
21,0,1,-100,0,99,40
21,0,1,-100,0,99,40
21,0,1,-100,0,99,40
21,0,1,-100,0,99,40
21,0,1,-100,0,99,40
21,0,1,-100,0,99,40
21,0,1,-100,0,99,40
21,0,1,-100,0,99,40
21,0,1,-100,0,99,40
21,0,1,-100,0,99,40
21,0,1,-100,0,99,40
21,0,1,-100,0,99,40
21,0,1,-100,0,99,40
21,0,1,-100,0,99,40
21,0,1,-100,0,99,40
21,0,1,-100,0,99,40
21,0,1,-100,0,99,40
21,0,1,-100,0,99,40
21,0,1,-100,0,99,40
21,0,1,-100,0,99,40
21,0,1,-100,0,99,40
21,0,1,-100,0,99,40
21,0,1,-100,0,99,40
21,0,1,-100,0,99,40
21,0,1,-100,0,99,40
21,0,1,-100,0,99,40
21,0,1,-100,0,99,40
21,0,1,-100,0,99,40
21,0,1,-100,0,99,40
21,0,1,-100,0,99,40
21,0,1,-100,0,99,40
21,0,1,-100,0,99,40
21,0,1,-100,0,99,40
21,0,1,-100,0,99,40
21,0,1,-100,0,99,40
21,0,1,-100,0,99,40
21,0,1,-100,0,99,40
21,0,1,-100,0,99,40
21,0,1,-100,0,99,40
21,0,1,-100,0,99,40
21,0,1,-100,0,99,40
21,0,1,-100,0,99,40
21,0,1,-100,0,99,40
21,0,1,-100,0,99,40
21,0,1,-100,0,99,40
21,0,1,-100,0,99,40
21,0,1,-100,0,99,40
21,0,1,-100,0,99,40
22,-5,0,-99,-4,180,40
22,-5,0,-99,-4,180,40
22,-5,0,-99,-4,180,40
22,-5,0,-99,-4,180,40
22,-5,0,-99,-4,180,40
22,-5,0,-99,-4,180,40
22,-5,0,-99,-4,180,40
22,-5,0,-99,-4,180,40
22,-5,0,-99,-4,180,40
22,-5,0,-99,-4,180,40
22,-5,0,-99,-4,180,40
22,-5,0,-99,-4,180,40
22,-5,0,-99,-4,180,40
22,-5,0,-99,-4,180,40
22,-5,0,-99,-4,180,40
22,-5,0,-99,-4,180,40
22,-5,0,-99,-4,180,40
22,-5,0,-99,-4,180,40
22,-5,0,-99,-4,180,40
22,-5,0,-99,-4,180,40
22,-5,0,-99,-4,180,40
22,-5,0,-99,-4,180,40
22,-5,0,-99,-4,180,40
22,-5,0,-99,-4,180,40
22,-5,0,-99,-4,180,40
22,-5,0,-99,-4,180,40
22,-5,0,-99,-4,180,40
22,-5,0,-99,-4,180,40
22,-5,0,-99,-4,180,40
22,-5,0,-99,-4,180,40
22,-5,0,-99,-4,180,40
22,-5,0,-99,-4,180,40
22,-5,0,-99,-4,180,40
22,-5,0,-99,-4,180,40
22,-5,0,-99,-4,180,40
22,-5,0,-99,-4,180,40
22,-5,0,-99,-4,180,40
22,-5,0,-99,-4,180,40
22,-5,0,-99,-4,180,40
22,-5,0,-99,-4,180,40
22,-5,0,-99,-4,180,40
22,-5,0,-99,-4,180,40
22,-5,0,-99,-4,180,40
22,-5,0,-99,-4,180,40
22,-5,0,-99,-4,180,40
