Data_Number,State,Action,Reward,Angle,Acceleration,pos_cart
0,7,0,-99,7,52,0
1,5,1,-99,5,69,0
2,-2,0,-99,-1,50,0
3,-6,0,-99,-5,53,0
4,-4,1,-99,-3,60,0
5,-2,1,-99,-1,66,0
6,0,1,-100,0,51,0
7,0,0,-100,0,54,0
8,-2,0,-99,-1,71,0
9,-2,1,-99,-1,51,0
10,-6,1,-99,-5,116,40
11,1,0,-99,1,61,40
12,3,1,-99,3,54,40
13,1,1,-99,1,58,40
14,-2,0,-99,-1,47,40
15,-4,0,-99,-3,59,40
16,-3,0,-99,-2,65,40
17,-2,1,-99,-1,55,40
18,-2,0,-99,-1,62,40
19,-2,1,-99,-1,64,40
19,-2,1,-99,-1,64,40
19,-2,1,-99,-1,64,40
19,-2,1,-99,-1,64,40
19,-2,1,-99,-1,64,40
19,-2,1,-99,-1,64,40
19,-2,1,-99,-1,64,40
19,-2,1,-99,-1,64,40
19,-2,1,-99,-1,64,40
19,-2,1,-99,-1,64,40
19,-2,1,-99,-1,64,40
19,-2,1,-99,-1,64,40
19,-2,1,-99,-1,64,40
19,-2,1,-99,-1,64,40
19,-2,1,-99,-1,64,40
19,-2,1,-99,-1,64,40
19,-2,1,-99,-1,64,40
19,-2,1,-99,-1,64,40
19,-2,1,-99,-1,64,40
19,-2,1,-99,-1,64,40
19,-2,1,-99,-1,64,40
19,-2,1,-99,-1,64,40
19,-2,1,-99,-1,64,40
19,-2,1,-99,-1,64,40
19,-2,1,-99,-1,64,40
19,-2,1,-99,-1,64,40
19,-2,1,-99,-1,64,40
19,-2,1,-99,-1,64,40
19,-2,1,-99,-1,64,40
19,-2,1,-99,-1,64,40
19,-2,1,-99,-1,64,40
19,-2,1,-99,-1,64,40
19,-2,1,-99,-1,64,40
19,-2,1,-99,-1,64,40
19,-2,1,-99,-1,64,40
19,-2,1,-99,-1,64,40
19,-2,1,-99,-1,64,40
19,-2,1,-99,-1,64,40
19,-2,1,-99,-1,64,40
19,-2,1,-99,-1,64,40
19,-2,1,-99,-1,64,40
19,-2,1,-99,-1,64,40
19,-2,1,-99,-1,64,40
19,-2,1,-99,-1,64,40
19,-2,1,-99,-1,64,40
19,-2,1,-99,-1,64,40
19,-2,1,-99,-1,64,40
19,-2,1,-99,-1,64,40
19,-2,1,-99,-1,64,40
19,-2,1,-99,-1,64,40
19,-2,1,-99,-1,64,40
19,-2,1,-99,-1,64,40
19,-2,1,-99,-1,64,40
19,-2,1,-99,-1,64,40
19,-2,1,-99,-1,64,40
19,-2,1,-99,-1,64,40
19,-2,1,-99,-1,64,40
20,-3,0,-99,-2,48,80
20,-3,0,-99,-2,48,80
20,-3,0,-99,-2,48,80
20,-3,0,-99,-2,48,80
20,-3,0,-99,-2,48,80
20,-3,0,-99,-2,48,80
20,-3,0,-99,-2,48,80
20,-3,0,-99,-2,48,80
20,-3,0,-99,-2,48,80
20,-3,0,-99,-2,48,80
20,-3,0,-99,-2,48,80
20,-3,0,-99,-2,48,80
20,-3,0,-99,-2,48,80
20,-3,0,-99,-2,48,80
20,-3,0,-99,-2,48,80
20,-3,0,-99,-2,48,80
20,-3,0,-99,-2,48,80
20,-3,0,-99,-2,48,80
20,-3,0,-99,-2,48,80
20,-3,0,-99,-2,48,80
20,-3,0,-99,-2,48,80
20,-3,0,-99,-2,48,80
20,-3,0,-99,-2,48,80
20,-3,0,-99,-2,48,80
20,-3,0,-99,-2,48,80
20,-3,0,-99,-2,48,80
20,-3,0,-99,-2,48,80
20,-3,0,-99,-2,48,80
20,-3,0,-99,-2,48,80
20,-3,0,-99,-2,48,80
20,-3,0,-99,-2,48,80
20,-3,0,-99,-2,48,80
20,-3,0,-99,-2,48,80
20,-3,0,-99,-2,48,80
20,-3,0,-99,-2,48,80
20,-3,0,-99,-2,48,80
20,-3,0,-99,-2,48,80
20,-3,0,-99,-2,48,80
20,-3,0,-99,-2,48,80
20,-3,0,-99,-2,48,80
20,-3,0,-99,-2,48,80
20,-3,0,-99,-2,48,80
20,-3,0,-99,-2,48,80
20,-3,0,-99,-2,48,80
20,-3,0,-99,-2,48,80
20,-3,0,-99,-2,48,80
20,-3,0,-99,-2,48,80
20,-3,0,-99,-2,48,80
20,-3,0,-99,-2,48,80
20,-3,0,-99,-2,48,80
20,-3,0,-99,-2,48,80
20,-3,0,-99,-2,48,80
20,-3,0,-99,-2,48,80
20,-3,0,-99,-2,48,80
20,-3,0,-99,-2,48,80
20,-3,0,-99,-2,48,80
20,-3,0,-99,-2,48,80
20,-3,0,-99,-2,48,80
20,-3,0,-99,-2,48,80
20,-3,0,-99,-2,48,80
20,-3,0,-99,-2,48,80
20,-3,0,-99,-2,48,80
20,-3,0,-99,-2,48,80
20,-3,0,-99,-2,48,80
20,-3,0,-99,-2,48,80
20,-3,0,-99,-2,48,80
20,-3,0,-99,-2,48,80
20,-3,0,-99,-2,48,80
20,-3,0,-99,-2,48,80
20,-3,0,-99,-2,48,80
20,-3,0,-99,-2,48,80
20,-3,0,-99,-2,48,80
20,-3,0,-99,-2,48,80
20,-3,0,-99,-2,48,80
20,-3,0,-99,-2,48,80
20,-3,0,-99,-2,48,80
20,-3,0,-99,-2,48,80
20,-3,0,-99,-2,48,80
20,-3,0,-99,-2,48,80
20,-3,0,-99,-2,48,80
21,-4,1,-99,-3,16,80
21,-4,1,-99,-3,16,80
21,-4,1,-99,-3,16,80
21,-4,1,-99,-3,16,80
21,-4,1,-99,-3,16,80
21,-4,1,-99,-3,16,80
21,-4,1,-99,-3,16,80
21,-4,1,-99,-3,16,80
21,-4,1,-99,-3,16,80
21,-4,1,-99,-3,16,80
21,-4,1,-99,-3,16,80
21,-4,1,-99,-3,16,80
21,-4,1,-99,-3,16,80
21,-4,1,-99,-3,16,80
21,-4,1,-99,-3,16,80
21,-4,1,-99,-3,16,80
21,-4,1,-99,-3,16,80
21,-4,1,-99,-3,16,80
21,-4,1,-99,-3,16,80
21,-4,1,-99,-3,16,80
21,-4,1,-99,-3,16,80
21,-4,1,-99,-3,16,80
21,-4,1,-99,-3,16,80
21,-4,1,-99,-3,16,80
21,-4,1,-99,-3,16,80
21,-4,1,-99,-3,16,80
21,-4,1,-99,-3,16,80
21,-4,1,-99,-3,16,80
21,-4,1,-99,-3,16,80
21,-4,1,-99,-3,16,80
21,-4,1,-99,-3,16,80
21,-4,1,-99,-3,16,80
21,-4,1,-99,-3,16,80
21,-4,1,-99,-3,16,80
21,-4,1,-99,-3,16,80
21,-4,1,-99,-3,16,80
21,-4,1,-99,-3,16,80
21,-4,1,-99,-3,16,80
21,-4,1,-99,-3,16,80
21,-4,1,-99,-3,16,80
21,-4,1,-99,-3,16,80
21,-4,1,-99,-3,16,80
21,-4,1,-99,-3,16,80
21,-4,1,-99,-3,16,80
21,-4,1,-99,-3,16,80
21,-4,1,-99,-3,16,80
